Gene Name	Ensembl Gene ID	Known or Novel	Acinar	Alpha	Beta
TRPM5	ENSG00000070985.9	Known	Yes	No	Yes
AARD	ENSG00000205002.3	Novel	No	Yes	Yes
AC002306.1	ENSG00000259242.2	Novel	No	Yes	Yes
AC004854.4	ENSG00000234183.1	Novel	No	Yes	Yes
AC005253.2	ENSG00000268030.1	Novel	No	Yes	Yes
AC005355.1	ENSG00000250994.1	Novel	No	Yes	Yes
AC006160.5	ENSG00000249502.1	Novel	No	Yes	Yes
AC007365.3	ENSG00000226756.1	Novel	No	Yes	Yes
AC074391.1	ENSG00000204929.7	Novel	No	Yes	Yes
AC092535.3	ENSG00000227189.2	Novel	No	Yes	Yes
AC137932.6	ENSG00000261253.1	Novel	No	Yes	Yes
ADAMTSL4	ENSG00000143382.9	Novel	No	Yes	Yes
AFTPH	ENSG00000119844.10	Novel	No	Yes	Yes
ARID4B	ENSG00000054267.16	Novel	No	Yes	Yes
ARL6IP4	ENSG00000182196.9	Novel	No	Yes	Yes
C19orf60	ENSG00000006015.13	Novel	No	Yes	Yes
CCDC96	ENSG00000173013.4	Novel	No	Yes	Yes
CPSF1	ENSG00000071894.10	Novel	No	Yes	Yes
CRLF1	ENSG00000006016.6	Novel	No	Yes	Yes
CTB-40H15.4	ENSG00000272057.1	Novel	No	Yes	Yes
CTC-518P12.6	ENSG00000267484.1	Novel	No	Yes	Yes
CTD-2089N3.2	ENSG00000251573.2	Novel	No	Yes	Yes
CTD-2089N3.3	ENSG00000248918.2	Novel	No	Yes	Yes
CTD-2314G24.2	ENSG00000259663.2	Novel	No	Yes	Yes
CYP2R1	ENSG00000186104.6	Novel	No	Yes	Yes
DNAJB11	ENSG00000090520.6	Novel	No	Yes	Yes
DPF2	ENSG00000133884.5	Novel	No	Yes	Yes
DVL3	ENSG00000161202.13	Novel	No	Yes	Yes
ECE2	ENSG00000145194.13	Novel	No	Yes	Yes
EIF2B5	ENSG00000145191.7	Novel	No	Yes	Yes
FAM221A	ENSG00000188732.6	Novel	No	Yes	Yes
FANCC	ENSG00000158169.7	Novel	No	Yes	Yes
GNAI2	ENSG00000114353.12	Novel	No	Yes	Yes
GRPEL1	ENSG00000109519.8	Novel	No	Yes	Yes
H2AFV	ENSG00000105968.14	Novel	No	Yes	Yes
hsa-mir-8072	ENSG00000256092.2	Novel	No	Yes	Yes
IFRD2	ENSG00000214706.6	Novel	No	Yes	Yes
ISL1	ENSG00000016082.10	Novel	No	Yes	Yes
ISYNA1	ENSG00000105655.14	Novel	No	Yes	Yes
KCNAB3	ENSG00000170049.5	Novel	No	Yes	Yes
KXD1	ENSG00000105700.6	Novel	No	Yes	Yes
LINC00856	ENSG00000230417.6	Novel	No	Yes	Yes
LOH12CR1	ENSG00000165714.6	Novel	No	Yes	Yes
LOH12CR2	ENSG00000205791.2	Novel	No	Yes	Yes
LRRC14	ENSG00000160959.3	Novel	No	Yes	Yes
LSMEM2	ENSG00000179564.3	Novel	No	Yes	Yes
LYST	ENSG00000143669.9	Novel	No	Yes	Yes
MANSC1	ENSG00000111261.9	Novel	No	Yes	Yes
MAPK11	ENSG00000185386.10	Novel	No	Yes	Yes
MAZ	ENSG00000103495.9	Novel	No	Yes	Yes
MBNL1-AS1	ENSG00000229619.3	Novel	No	Yes	Yes
MED28	ENSG00000118579.7	Novel	No	Yes	Yes
MFSD3	ENSG00000167700.4	Novel	No	Yes	Yes
MVP	ENSG00000013364.14	Novel	No	Yes	Yes
NCAPG	ENSG00000109805.5	Novel	No	Yes	Yes
NEK4	ENSG00000114904.8	Novel	No	Yes	Yes
NFKB1	ENSG00000109320.7	Novel	No	Yes	Yes
NOM1	ENSG00000146909.3	Novel	No	Yes	Yes
NPDC1	ENSG00000107281.5	Novel	No	Yes	Yes
OGFOD2	ENSG00000111325.12	Novel	No	Yes	Yes
PCMTD2	ENSG00000203880.7	Novel	No	Yes	Yes
PLEC	ENSG00000178209.10	Novel	No	Yes	Yes
PRR14L	ENSG00000183530.9	Novel	No	Yes	Yes
PSMC3	ENSG00000165916.4	Novel	No	Yes	Yes
QPRT	ENSG00000103485.13	Novel	No	Yes	Yes
RECQL4	ENSG00000160957.8	Novel	No	Yes	Yes
RGS11	ENSG00000076344.11	Novel	No	Yes	Yes
RP1-85F18.5	ENSG00000231993.1	Novel	No	Yes	Yes
RP11-1191J2.5	ENSG00000272927.1	Novel	No	Yes	Yes
RP11-1263C18.1	ENSG00000273238.1	Novel	No	Yes	Yes
RP11-1406H17.1	ENSG00000269908.1	Novel	No	Yes	Yes
RP11-20I20.4	ENSG00000273179.1	Novel	No	Yes	Yes
RP11-215P8.4	ENSG00000250564.1	Novel	No	Yes	Yes
RP11-229P13.20	ENSG00000235117.2	Novel	No	Yes	Yes
RP11-440L14.4	ENSG00000272588.1	Novel	No	Yes	Yes
RP11-513I15.6	ENSG00000225339.2	Novel	No	Yes	Yes
RP11-568N6.1	ENSG00000260101.1	Novel	No	Yes	Yes
RP11-586D19.2	ENSG00000251408.1	Novel	No	Yes	Yes
RP11-83B20.1	ENSG00000214650.2	Novel	No	Yes	Yes
RP5-966M1.6	ENSG00000243696.4	Novel	No	Yes	Yes
RPL36	ENSG00000130255.8	Novel	No	Yes	Yes
RPS10-NUDT3	ENSG00000270800.1	Novel	No	Yes	Yes
RTEL1-TNFRSF6B	ENSG00000026036.16	Novel	No	Yes	Yes
SAFB	ENSG00000160633.8	Novel	No	Yes	Yes
SAR1B	ENSG00000152700.9	Novel	No	Yes	Yes
SCARB1	ENSG00000073060.11	Novel	No	Yes	Yes
SEC24A	ENSG00000113615.8	Novel	No	Yes	Yes
SEMA3F	ENSG00000001617.7	Novel	No	Yes	Yes
SEMA6C	ENSG00000143434.11	Novel	No	Yes	Yes
SNX1	ENSG00000028528.10	Novel	No	Yes	Yes
SPI1	ENSG00000066336.7	Novel	No	Yes	Yes
SSBP4	ENSG00000130511.11	Novel	No	Yes	Yes
STK32B	ENSG00000152953.8	Novel	No	Yes	Yes
STMN3	ENSG00000197457.5	Novel	No	Yes	Yes
TADA2B	ENSG00000173011.11	Novel	No	Yes	Yes
TBCCD1	ENSG00000113838.8	Novel	No	Yes	Yes
TGFBR3L	ENSG00000260001.2	Novel	No	Yes	Yes
TICAM1	ENSG00000127666.8	Novel	No	Yes	Yes
TMCC2	ENSG00000133069.10	Novel	No	Yes	Yes
TMEM107	ENSG00000179029.10	Novel	No	Yes	Yes
TMEM249	ENSG00000214597.4	Novel	No	Yes	Yes
TMEM249	ENSG00000271698.1	Novel	No	Yes	Yes
TMEM59L	ENSG00000105696.4	Novel	No	Yes	Yes
TNFSF12	ENSG00000239697.6	Novel	No	Yes	Yes
TNFSF13	ENSG00000161955.12	Novel	No	Yes	Yes
TUBGCP6	ENSG00000128159.7	Novel	No	Yes	Yes
U73166.2	ENSG00000230454.1	Novel	No	Yes	Yes
UBA52	ENSG00000221983.3	Novel	No	Yes	Yes
USPL1	ENSG00000132952.7	Novel	No	Yes	Yes
VWA5B2	ENSG00000145198.10	Novel	No	Yes	Yes
ZMIZ2	ENSG00000122515.10	Novel	No	Yes	Yes
ZNF148	ENSG00000163848.14	Novel	No	Yes	Yes
ZNF280D	ENSG00000137871.15	Novel	No	Yes	Yes
ABCC8	ENSG00000006071.7	Known	No	Yes	Yes
AC079602.1	ENSG00000272214.1	Known	No	Yes	Yes
ANKH	ENSG00000154122.8	Known	No	Yes	Yes
ASCC2	ENSG00000100325.10	Known	No	Yes	Yes
ATP13A1	ENSG00000105726.12	Known	No	Yes	Yes
ATP2A3	ENSG00000074370.13	Known	No	Yes	Yes
CCDC3	ENSG00000151468.9	Known	No	Yes	Yes
CDK2AP1	ENSG00000111328.2	Known	No	Yes	Yes
DSP	ENSG00000096696.9	Known	No	Yes	Yes
FAM13A	ENSG00000138640.10	Known	No	Yes	Yes
FBXW7	ENSG00000109670.9	Known	No	Yes	Yes
INTS8	ENSG00000164941.9	Known	No	Yes	Yes
KDM2B	ENSG00000089094.12	Known	No	Yes	Yes
LRRC66	ENSG00000188993.3	Known	No	Yes	Yes
MBNL1	ENSG00000152601.13	Known	No	Yes	Yes
MIR4453	ENSG00000268471.3	Known	No	Yes	Yes
MLEC	ENSG00000110917.3	Known	No	Yes	Yes
MYL7	ENSG00000106631.4	Known	No	Yes	Yes
NAGLU	ENSG00000108784.5	Known	No	Yes	Yes
NEURL4	ENSG00000215041.5	Known	No	Yes	Yes
NUDCD3	ENSG00000015676.13	Known	No	Yes	Yes
OPTN	ENSG00000123240.12	Known	No	Yes	Yes
PDE3B	ENSG00000152270.4	Known	No	Yes	Yes
PIM3	ENSG00000198355.4	Known	No	Yes	Yes
PLA2G1B	ENSG00000170890.9	Known	No	Yes	Yes
POLR3A	ENSG00000148606.8	Known	No	Yes	Yes
